Population Size,Generations,Mutation Rate,Crossover Rate,Tournament Size,Avg Best Distance,Min Best Distance,Max Best Distance,Std Dev Best Distance,Avg Execution Time
100,165,0.1,0.1,5,17882.5,17882.5,17882.5,,0.47
100,191,0.1,0.1,3,17097.53,17097.53,17097.53,,0.49
100,207,0.1,0.1,10,18446.64,18446.64,18446.64,,0.55
100,266,0.1,0.1,5,17613.05,17613.05,17613.05,,0.7
100,287,0.1,0.1,8,17505.41,17505.41,17505.41,,0.88
100,297,0.1,0.1,10,17685.26,17685.26,17685.26,,0.81
100,299,0.01,1.0,2,11928.74,11928.74,11928.74,,1.42
100,301,0.1,0.1,8,17799.95,17799.95,17799.95,,0.85
100,303,0.1,0.1,2,18847.22,18847.22,18847.22,,0.86
100,313,0.1,0.1,2,17958.14,17958.14,17958.14,,0.78
100,337,0.01,0.5,5,12632.03,12632.03,12632.03,,1.14
100,370,0.1,0.1,3,17073.41,17073.41,17073.41,,0.88
100,386,0.05,0.1,3,15375.72,15375.72,15375.72,,0.96
100,401,0.05,1.0,5,10595.88,10595.88,10595.88,,2.05
100,402,0.05,0.5,5,12963.36,12963.36,12963.36,,1.44
100,411,0.01,1.0,5,13551.73,13551.73,13551.73,,2.15
100,422,0.05,0.1,10,13514.96,13514.96,13514.96,,1.16
100,436,0.1,1.0,10,9849.34,9849.34,9849.34,,2.27
100,446,0.1,0.5,2,11050.58,11050.58,11050.58,,1.55
100,454,0.1,0.5,10,9292.58,9292.58,9292.58,,1.87
100,460,0.1,1.0,8,10940.79,10940.79,10940.79,,2.29
100,474,0.05,1.0,8,10443.48,10443.48,10443.48,,2.55
100,476,0.01,0.5,2,12075.31,12075.31,12075.31,,1.61
100,481,0.01,0.1,8,15122.27,15122.27,15122.27,,1.35
100,490,0.01,1.0,10,13684.62,13684.62,13684.62,,2.54
100,502,0.01,0.5,3,13830.85,13830.85,13830.85,,1.63
100,511,0.05,0.5,3,10905.73,10905.73,10905.73,,1.92
100,546,0.1,1.0,3,9737.14,9737.14,9737.14,,2.67
100,551,0.05,0.1,2,13753.99,13753.99,13753.99,,1.43
100,567,0.05,0.1,5,13425.26,13425.26,13425.26,,1.47
100,577,0.05,1.0,10,11234.68,11234.68,11234.68,,3.06
100,579,0.1,0.5,8,10357.1,10357.1,10357.1,,2.17
100,584,0.01,0.1,2,14781.04,14781.04,14781.04,,1.34
100,585,0.01,1.0,8,12438.47,12438.47,12438.47,,3.17
100,591,0.05,0.5,2,10847.77,10847.77,10847.77,,2.17
100,626,0.05,1.0,2,11453.08,11453.08,11453.08,,3.13
100,644,0.1,1.0,2,9959.61,9959.61,9959.61,,3.2
100,662,0.1,1.0,5,9808.23,9808.23,9808.23,,3.36
100,666,0.1,0.5,5,11026.3,11026.3,11026.3,,2.43
100,676,0.05,0.5,8,9684.92,9684.92,9684.92,,2.64
100,706,0.01,0.1,5,14254.78,14254.78,14254.78,,1.77
100,740,0.1,1.0,3,9821.53,9821.53,9821.53,,3.45
100,742,0.01,0.1,10,13415.6,13415.6,13415.6,,1.93
100,752,0.1,0.5,5,10316.07,10316.07,10316.07,,2.84
100,769,0.05,0.1,10,13049.22,13049.22,13049.22,,2.29
100,787,0.01,1.0,3,13172.92,13172.92,13172.92,,3.96
100,790,0.05,0.1,3,12265.16,12265.16,12265.16,,1.86
100,803,0.05,0.1,8,12491.67,12491.67,12491.67,,2.11
100,842,0.05,1.0,3,9573.66,9573.66,9573.66,,4.24
100,844,0.01,0.5,8,12906.39,12906.39,12906.39,,3.14
100,844,0.05,0.5,10,9650.63,9650.63,9650.63,,3.46
100,864,0.1,0.1,5,15284.85,15284.85,15284.85,,2.07
100,870,0.05,1.0,8,11424.8,11424.8,11424.8,,4.64
100,878,0.05,0.1,8,13129.9,13129.9,13129.9,,2.4
100,879,0.1,0.5,8,10237.51,10237.51,10237.51,,3.35
100,881,0.05,0.1,5,11084.31,11084.31,11084.31,,2.09
100,882,0.01,1.0,3,10509.26,10509.26,10509.26,,4.58
100,895,0.1,0.5,3,10186.4,10186.4,10186.4,,3.26
100,899,0.01,1.0,5,11088.18,11088.18,11088.18,,4.4
100,907,0.1,1.0,5,9236.44,9236.44,9236.44,,4.59
100,915,0.05,0.5,3,10154.65,10154.65,10154.65,,3.18
100,947,0.01,0.1,10,13328.58,13328.58,13328.58,,2.43
100,948,0.01,0.5,10,11375.15,11375.15,11375.15,,3.92
100,957,0.1,0.1,8,15577.78,15577.78,15577.78,,2.47
100,970,0.1,0.1,2,16170.03,16170.03,16170.03,,2.21
100,999,0.01,0.1,3,12569.87,12569.87,12569.87,,2.31
100,1005,0.1,0.1,3,15819.19,15819.19,15819.19,,2.31
100,1011,0.1,1.0,10,10280.48,10280.48,10280.48,,5.56
100,1027,0.05,1.0,5,10460.6,10460.6,10460.6,,5.16
100,1028,0.1,0.5,10,10494.05,10494.05,10494.05,,3.81
100,1036,0.1,1.0,3,9034.38,9034.38,9034.38,,4.84
100,1044,0.1,1.0,10,10305.22,10305.22,10305.22,,5.17
100,1049,0.01,1.0,2,11933.98,11933.98,11933.98,,5.04
100,1053,0.1,1.0,8,10060.75,10060.75,10060.75,,5.88
100,1056,0.05,0.5,10,10311.82,10311.82,10311.82,,3.88
100,1063,0.05,0.5,5,9699.18,9699.18,9699.18,,3.81
100,1072,0.1,0.5,2,9902.94,9902.94,9902.94,,3.8
100,1097,0.05,0.1,2,14307.36,14307.36,14307.36,,2.56
100,1112,0.01,0.5,2,11939.65,11939.65,11939.65,,3.86
100,1119,0.05,0.1,3,12629.97,12629.97,12629.97,,2.6
100,1140,0.05,1.0,2,9415.42,9415.42,9415.42,,5.21
100,1194,0.05,0.5,2,11236.33,11236.33,11236.33,,4.24
100,1209,0.01,0.1,5,11941.74,11941.74,11941.74,,3.23
100,1228,0.05,1.0,2,11253.39,11253.39,11253.39,,5.53
100,1239,0.05,0.5,10,10593.02,10593.02,10593.02,,4.88
100,1244,0.1,1.0,8,8992.95,8992.95,8992.95,,6.14
100,1246,0.1,0.5,3,10121.6,10121.6,10121.6,,4.46
100,1260,0.1,0.5,10,9922.84,9922.84,9922.84,,4.72
100,1268,0.05,1.0,8,9098.87,9098.87,9098.87,,6.22
100,1271,0.05,1.0,10,9193.41,9193.41,9193.41,,6.83
100,1281,0.1,0.5,3,10072.84,10072.84,10072.84,,4.35
100,1368,0.01,1.0,10,12113.44,12113.44,12113.44,,7.41
100,1374,0.01,1.0,2,12041.89,12041.89,12041.89,,7.21
100,1377,0.05,1.0,10,9955.29,9955.29,9955.29,,6.79
100,1434,0.05,1.0,3,9458.08,9458.08,9458.08,,7.16
100,1448,0.05,0.5,8,11258.16,11258.16,11258.16,,5.57
100,1522,0.01,0.5,8,11421.1,11421.1,11421.1,,5.52
100,1535,0.05,0.1,10,10538.63,10538.63,10538.63,,4.16
100,1593,0.01,0.5,5,13007.87,13007.87,13007.87,,5.64
100,1627,0.05,1.0,3,9529.31,9529.31,9529.31,,7.53
100,1639,0.01,0.1,2,12904.52,12904.52,12904.52,,3.84
100,1671,0.1,0.5,5,9572.85,9572.85,9572.85,,5.79
100,1674,0.1,1.0,5,11345.12,11345.12,11345.12,,7.93
100,1820,0.1,0.1,10,15083.38,15083.38,15083.38,,4.78
100,1972,0.1,0.5,2,10143.0,10143.0,10143.0,,6.66
100,1992,0.01,0.5,10,11861.11,11861.11,11861.11,,8.08
100,1999,0.01,0.1,3,12115.97,12115.97,12115.97,,4.9
100,1999,0.01,0.1,8,14191.62,14191.62,14191.62,,5.55
100,1999,0.01,0.5,3,9999.97,9999.97,9999.97,,7.03
100,1999,0.01,1.0,8,11496.61,11496.61,11496.61,,10.14
100,1999,0.05,0.1,2,11013.24,11013.24,11013.24,,4.52
100,1999,0.1,1.0,2,8825.98,8825.98,8825.98,,9.36
100,2000,0.05,0.1,8,11036.45,11036.45,11036.45,,5.7
100,2067,0.01,1.0,10,10472.22,10472.22,10472.22,,10.42
100,2093,0.05,1.0,5,10183.83,10183.83,10183.83,,9.97
100,2197,0.05,0.5,2,9569.88,9569.88,9569.88,,7.4
100,2255,0.1,1.0,2,11470.61,11470.61,11470.61,,10.39
100,2449,0.01,0.5,8,10560.15,10560.15,10560.15,,9.37
100,2466,0.01,1.0,3,10519.46,10519.46,10519.46,,11.66
100,2576,0.01,0.1,2,12542.84,12542.84,12542.84,,6.25
100,2585,0.01,0.5,2,10194.27,10194.27,10194.27,,9.55
100,2622,0.05,0.5,3,9647.36,9647.36,9647.36,,8.78
100,2622,0.1,0.5,8,10042.53,10042.53,10042.53,,9.47
100,2624,0.01,1.0,5,11288.33,11288.33,11288.33,,12.53
100,2787,0.05,0.5,5,10530.65,10530.65,10530.65,,9.67
100,3015,0.01,0.5,3,10736.22,10736.22,10736.22,,10.85
100,3042,0.01,0.5,10,10959.06,10959.06,10959.06,,12.42
100,3084,0.01,1.0,8,10307.28,10307.28,10307.28,,15.16
100,3274,0.01,0.5,5,11174.55,11174.55,11174.55,,12.1
100,3550,0.05,0.5,8,8286.12,8286.12,8286.12,,12.73
100,3815,0.01,0.1,5,10645.78,10645.78,10645.78,,9.89
100,4160,0.01,0.1,3,10139.7,10139.7,10139.7,,10.05
100,4190,0.01,0.1,10,9958.69,9958.69,9958.69,,11.83
100,4640,0.05,0.1,5,10461.11,10461.11,10461.11,,11.85
100,4999,0.01,0.1,8,9437.36,9437.36,9437.36,,13.39
200,140,0.1,0.1,10,17813.39,17813.39,17813.39,,0.73
200,216,0.1,0.1,5,17658.21,17658.21,17658.21,,1.02
200,254,0.1,0.1,2,19889.55,19889.55,19889.55,,1.11
200,263,0.05,1.0,5,9907.43,9907.43,9907.43,,2.48
200,292,0.01,1.0,10,11438.51,11438.51,11438.51,,2.84
200,305,0.1,0.1,8,15805.77,15805.77,15805.77,,1.56
200,318,0.01,0.1,3,13260.69,13260.69,13260.69,,1.43
200,340,0.01,0.5,3,11127.97,11127.97,11127.97,,2.27
200,340,0.1,1.0,8,9200.7,9200.7,9200.7,,3.28
200,366,0.1,0.1,3,15155.23,15155.23,15155.23,,1.65
200,403,0.05,0.5,10,10870.83,10870.83,10870.83,,2.89
200,404,0.1,1.0,3,10094.7,10094.7,10094.7,,3.69
200,431,0.1,1.0,8,10194.98,10194.98,10194.98,,9.89
200,438,0.01,1.0,2,11329.34,11329.34,11329.34,,3.94
200,442,0.05,0.5,8,8647.3,8647.3,8647.3,,3.07
200,443,0.1,0.5,2,11023.8,11023.8,11023.8,,2.89
200,454,0.05,1.0,3,10061.9,10061.9,10061.9,,4.16
200,460,0.1,0.5,10,9861.69,9861.69,9861.69,,3.35
200,476,0.1,0.1,8,15030.01,15030.01,15030.01,,2.35
200,497,0.01,1.0,5,10602.55,10602.55,10602.55,,4.59
200,501,0.01,0.1,5,12884.43,12884.43,12884.43,,2.34
200,506,0.1,0.1,3,15557.6,15557.6,15557.6,,2.3
200,515,0.1,0.5,5,9620.85,9620.85,9620.85,,3.5
200,519,0.05,1.0,8,10054.32,10054.32,10054.32,,4.94
200,537,0.1,1.0,10,9568.22,9568.22,9568.22,,5.19
200,538,0.05,1.0,3,9764.84,9764.84,9764.84,,4.87
200,547,0.1,1.0,10,9599.75,9599.75,9599.75,,8.34
200,548,0.05,0.5,2,9816.29,9816.29,9816.29,,3.81
200,549,0.01,0.1,8,11883.45,11883.45,11883.45,,2.72
200,563,0.01,1.0,8,10417.14,10417.14,10417.14,,5.36
200,577,0.1,0.5,5,9547.34,9547.34,9547.34,,3.99
200,582,0.1,1.0,5,9160.31,9160.31,9160.31,,5.51
200,585,0.1,0.5,8,10228.52,10032.26,10424.78,277.55355375134394,4.1899999999999995
200,589,0.01,1.0,3,10371.72,10371.72,10371.72,,5.32
200,608,0.1,0.1,10,13988.86,13988.86,13988.86,,3.12
200,611,0.05,1.0,2,9911.82,9911.82,9911.82,,5.5
200,618,0.1,1.0,2,10401.42,10401.42,10401.42,,5.52
200,622,0.01,0.5,10,12223.42,12223.42,12223.42,,4.54
200,627,0.05,0.5,3,9827.05,9827.05,9827.05,,4.14
200,628,0.1,1.0,3,9022.85,9022.85,9022.85,,5.8
200,652,0.01,0.5,5,12737.23,12737.23,12737.23,,4.4
200,659,0.05,1.0,8,9099.08,9099.08,9099.08,,6.22
200,659,0.05,1.0,10,10371.57,10371.57,10371.57,,6.38
200,660,0.1,1.0,5,9353.24,9353.24,9353.24,,6.12
200,665,0.05,0.1,2,13350.05,13350.05,13350.05,,2.92
200,676,0.1,1.0,8,9213.41,9213.41,9213.41,,6.59
200,728,0.1,0.1,3,16492.82,16492.82,16492.82,,3.43
200,733,0.01,0.5,8,10338.98,10338.98,10338.98,,5.09
200,754,0.05,1.0,10,8795.45,8795.45,8795.45,,7.33
200,769,0.1,0.1,5,13521.73,13521.73,13521.73,,3.57
200,784,0.1,0.1,2,16563.29,16563.29,16563.29,,3.42
200,788,0.1,1.0,3,9435.22,9435.22,9435.22,,7.28
200,793,0.1,0.1,2,16584.58,16584.58,16584.58,,3.84
200,811,0.05,0.1,8,11285.79,11285.79,11285.79,,4.0
200,824,0.05,0.1,2,12023.67,12023.67,12023.67,,3.64
200,824,0.05,0.5,5,10296.95,10296.95,10296.95,,5.53
200,832,0.05,0.5,3,9244.78,9244.78,9244.78,,5.63
200,870,0.1,0.5,3,10154.89,10154.89,10154.89,,5.72
200,872,0.01,0.5,10,9655.89,9655.89,9655.89,,6.21
200,875,0.01,0.1,10,10833.94,10833.94,10833.94,,4.4
200,887,0.1,1.0,2,9758.61,9758.61,9758.61,,8.18
200,888,0.05,0.1,10,11225.11,11225.11,11225.11,,4.47
200,898,0.01,0.5,3,10563.58,10563.58,10563.58,,5.86
200,948,0.1,0.5,3,9021.11,9021.11,9021.11,,6.25
200,962,0.05,0.5,8,9656.6,9656.6,9656.6,,6.73
200,982,0.01,0.1,10,12546.28,12546.28,12546.28,,4.96
200,999,0.01,0.1,2,12913.69,12913.69,12913.69,,4.36
200,999,0.01,0.5,2,10983.23,10983.23,10983.23,,6.64
200,999,0.05,0.1,3,11302.48,11302.48,11302.48,,4.5
200,999,0.05,0.1,5,10565.48,10565.48,10565.48,,4.84
200,1000,0.1,1.0,5,9057.1,9057.1,9057.1,,9.45
200,1009,0.01,1.0,8,10049.89,10049.89,10049.89,,9.73
200,1015,0.1,1.0,10,9547.95,9547.95,9547.95,,10.19
200,1021,0.01,0.5,5,10984.18,10984.18,10984.18,,6.84
200,1046,0.01,1.0,2,10817.36,10817.36,10817.36,,9.34
200,1051,0.05,0.5,3,9112.64,9112.64,9112.64,,6.99
200,1059,0.05,1.0,3,9445.58,9445.58,9445.58,,9.8
200,1071,0.1,0.1,5,14805.38,14805.38,14805.38,,5.44
200,1073,0.05,0.5,5,10131.14,10131.14,10131.14,,7.19
200,1149,0.05,1.0,5,9351.63,9351.63,9351.63,,10.81
200,1155,0.05,1.0,5,8852.26,8852.26,8852.26,,10.63
200,1160,0.05,0.5,2,10163.04,10163.04,10163.04,,7.5
200,1218,0.05,0.5,10,11364.87,11364.87,11364.87,,8.77
200,1227,0.1,0.5,5,10153.96,10153.96,10153.96,,8.66
200,1241,0.05,1.0,8,9129.56,9129.56,9129.56,,12.17
200,1247,0.1,0.5,2,9444.2,9444.2,9444.2,,8.03
200,1261,0.05,0.1,2,12328.93,12328.93,12328.93,,5.6
200,1269,0.1,0.5,10,10065.1,10065.1,10065.1,,9.04
200,1271,0.01,1.0,5,9207.02,9207.02,9207.02,,12.31
200,1320,0.05,1.0,2,9004.94,9004.94,9004.94,,11.84
200,1368,0.01,1.0,10,10997.84,10997.84,10997.84,,13.11
200,1368,0.05,0.5,5,10671.57,10671.57,10671.57,,9.39
200,1409,0.01,0.5,2,9455.26,9455.26,9455.26,,9.02
200,1422,0.01,0.5,3,9613.4,9613.4,9613.4,,9.61
200,1478,0.01,0.1,8,10901.63,10901.63,10901.63,,7.23
200,1485,0.01,0.1,2,11600.77,11600.77,11600.77,,6.37
200,1486,0.1,0.1,8,14315.06,14315.06,14315.06,,7.56
200,1509,0.01,0.5,2,9308.57,9308.57,9308.57,,10.06
200,1513,0.1,0.1,10,13803.25,13803.25,13803.25,,8.07
200,1519,0.05,1.0,2,9277.88,9277.88,9277.88,,13.94
200,1524,0.05,0.1,3,10325.86,10325.86,10325.86,,6.79
200,1525,0.05,0.1,5,9966.83,9966.83,9966.83,,7.09
200,1536,0.05,0.1,10,10977.09,10977.09,10977.09,,7.8
200,1536,0.05,0.5,8,9233.25,9233.25,9233.25,,10.94
200,1555,0.01,1.0,3,9317.04,9317.04,9317.04,,14.05
200,1563,0.05,0.1,8,9894.43,9894.43,9894.43,,7.62
200,1622,0.05,0.1,8,9201.12,9201.12,9201.12,,8.19
200,1624,0.01,1.0,10,10010.8,10010.8,10010.8,,15.9
200,1629,0.05,0.5,10,10649.98,10649.98,10649.98,,11.94
200,1642,0.1,0.5,2,10013.31,10013.31,10013.31,,10.89
200,1739,0.01,0.1,5,10905.2,10905.2,10905.2,,7.97
200,1750,0.1,0.5,3,9370.62,9370.62,9370.62,,11.89
200,1754,0.1,0.5,8,9132.12,9132.12,9132.12,,12.87
200,1792,0.05,0.5,2,10414.38,10414.38,10414.38,,11.93
200,1814,0.05,1.0,10,9756.45,9756.45,9756.45,,18.22
200,1958,0.01,1.0,2,10141.59,10141.59,10141.59,,17.98
200,1993,0.01,0.1,3,10062.99,10062.99,10062.99,,8.75
200,1999,0.01,0.5,8,10336.86,10336.86,10336.86,,13.79
200,2081,0.01,0.5,8,11003.92,11003.92,11003.92,,14.87
200,2093,0.1,0.5,10,9442.29,9442.29,9442.29,,16.15
200,2319,0.1,1.0,2,9750.68,9750.68,9750.68,,21.73
200,2337,0.01,1.0,8,9036.51,9036.51,9036.51,,22.66
200,2414,0.01,1.0,5,10537.45,10537.45,10537.45,,22.95
200,2424,0.01,1.0,3,9071.96,9071.96,9071.96,,22.44
200,2426,0.05,0.1,3,10556.62,10556.62,10556.62,,10.86
200,2684,0.01,0.5,5,10257.71,10257.71,10257.71,,18.73
200,2814,0.01,0.5,10,9792.6,9792.6,9792.6,,20.74
200,2847,0.05,0.1,10,10399.55,10399.55,10399.55,,15.07
200,3036,0.01,0.1,3,9674.87,9674.87,9674.87,,13.67
200,3245,0.01,0.1,5,9980.85,9980.85,9980.85,,15.16
200,3692,0.01,0.1,10,10051.04,10051.04,10051.04,,19.11
